GA_ARTICLE#GA_CODEARTICLE#GA_LIBELLE#GA_CODEBARRE#GA_PVTTC
992EE2G303        007004         X#992EE2G303#Steppjacke#9990000000289#0
992EE2G303        008001         X#992EE2G303#Steppjacke#9990000000296#0
992EE2G303        008002         X#992EE2G303#Steppjacke#9990000000302#0
992EE2G303        008003         X#992EE2G303#Steppjacke#9990000000319#0
992EE2G303        008004         X#992EE2G303#Steppjacke#9990000000326#0
A1435201123834                   X#A1435201123834#Easy Jersey dress_Moderat#4063055990456#24,99
A1435201123836                   X#A1435201123836#Easy Jersey dress_Moderat#4063055990470#24,99
A1435201123838                   X#A1435201123838#Easy Jersey dress_Moderat#4063055990494#24,99
A1435201123840                   X#A1435201123840#Easy Jersey dress_Moderat#4063055990517#24,99
A1435201123842                   X#A1435201123842#Easy Jersey dress_Moderat#4063055990531#24,99
A1435201123844                   X#A1435201123844#Easy Jersey dress_Moderat#4063055990555#24,99
A1435201123846                   X#A1435201123846#Easy Jersey dress_Moderat#4063055990579#24,99
A1435201471734                   X#A1435201471734#Easy Jersey dress_Moderat#4063055990463#24,99
A1435201471736                   X#A1435201471736#Easy Jersey dress_Moderat#4063055990487#24,99
A1435201471738                   X#A1435201471738#Easy Jersey dress_Moderat#4063055990500#24,99
A1435201471740                   X#A1435201471740#Easy Jersey dress_Moderat#4063055990524#24,99
A1435201471742                   X#A1435201471742#Easy Jersey dress_Moderat#4063055990548#24,99
A1435201471744                   X#A1435201471744#Easy Jersey dress_Moderat#4063055990562#24,99
A1435201471746                   X#A1435201471746#Easy Jersey dress_Moderat#4063055990586#24,99
A1435213123834                   X#A1435213123834#AOP Viscose Tunika_moderate#4063055991729#24,99
A1435213123836                   X#A1435213123836#AOP Viscose Tunika_moderate#4063055991736#24,99
A1435213123838                   X#A1435213123838#AOP Viscose Tunika_moderate#4063055991743#24,99
A1435213123840                   X#A1435213123840#AOP Viscose Tunika_moderate#4063055991750#24,99
A1435213123842                   X#A1435213123842#AOP Viscose Tunika_moderate#4063055991767#24,99
A1435213123844                   X#A1435213123844#AOP Viscose Tunika_moderate#4063055991774#24,99
A1435213123846                   X#A1435213123846#AOP Viscose Tunika_moderate#4063055991781#24,99
A1435221123834                   X#A1435221123834#Cotton Volant Dress#4063055991798#24,99
A1435221123836                   X#A1435221123836#Cotton Volant Dress#4063055991811#24,99
A1435221123838                   X#A1435221123838#Cotton Volant Dress#4063055991835#24,99
A1435221123840                   X#A1435221123840#Cotton Volant Dress#4063055991859#24,99
A1435221123842                   X#A1435221123842#Cotton Volant Dress#4063055991873#24,99
A1435221123844                   X#A1435221123844#Cotton Volant Dress#4063055991897#24,99
A1435221123846                   X#A1435221123846#Cotton Volant Dress#4063055991910#24,99
